route_id,service_id,trip_id,direction_id,shape_id
RA18,FULL,BinniBusRA18.1.008,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.009,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.010,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.011,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.012,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.013,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.014,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.015,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.016,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.017,1,BinniBusRA18
RA18,FULL,BinniBusRA18.1.018,1,BinniBusRA18
RA19,FULL,BinniBusRA19.0.001,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.002,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.003,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.004,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.005,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.006,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.007,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.008,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.009,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.010,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.011,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.012,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.013,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.014,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.015,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.016,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.017,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.018,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.019,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.020,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.021,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.022,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.023,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.024,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.025,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.026,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.027,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.028,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.029,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.030,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.031,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.032,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.033,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.034,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.035,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.036,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.037,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.038,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.039,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.040,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.041,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.042,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.043,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.044,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.045,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.046,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.047,0,BinniBusRA19
RA19,FULL,BinniBusRA19.0.048,0,BinniBusRA19
RA19,FULL,BinniBusRA19.1.001,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.002,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.003,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.004,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.005,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.006,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.007,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.008,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.009,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.010,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.011,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.012,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.013,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.014,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.015,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.016,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.017,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.018,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.019,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.020,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.021,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.022,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.023,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.024,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.025,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.026,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.027,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.028,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.029,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.030,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.031,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.032,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.033,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.034,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.035,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.036,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.037,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.038,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.039,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.040,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.041,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.042,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.043,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.044,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.045,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.046,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.047,1,BinniBusRA19
RA19,FULL,BinniBusRA19.1.048,1,BinniBusRA19
RC01,FULL,BinniBusRC01.0.001,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.002,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.003,0,BinniBusRC01
RC01,FULL,BinniBusRC01.0.004,0,BinniBusRC01
