stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
315,Plaza Oaxaca,,17.043676,-96.714482,0,
316,Plaza del Valle,,17.040378,-96.711995,0,
317,FAISAN - Avenida Universidad,,17.037013,-96.711587,0,
318,Fresnito - Avenida Universidad,,17.035718,-96.712436,0,
319,Walmart - Avenida Símbolos Patrios,,17.031848,-96.71289,0, 
320,Pinos - Avenida Símbolos Patrios,,17.02976,-96.711434,0, 
321,Jazmines - Avenida Símbolos Patrios,,17.027396,-96.709872,0, 
322,Experimental - Avenida Símbolos Patrios,,17.025646,-96.709819,0,
323,Puente CONALEP - Avenida Símbolos Patrios,,17.021265,-96.710859,0,
324,Eucaliptos - Avenida Símbolos Patrios,,17.018983,-96.711414,0,
325,Crucero al Tequio - Avenida Símbolos Patrios,,17.015374,-96.712214,0,
326,Agrarista - Avenida Reforma,,17.01415779,-96.71311156,0,
327,Bosque el Tequio - Avenida Reforma,,17.01589795,-96.71581206,0,
328,Universidad La Salle Oaxaca,,17.01858369,-96.72079048,0,
329,Antiguo Camino a San Bartolo Coyotepec,,17.019495,-96.726313,0,
330,Arboledas Xoxocotlán,,17.019744,-96.728082,0,
331,Carretera al Tequio - San Rafael,,17.022604,-96.729715,0,
332,Ferrocarril - Boulevard Guadalupe Hinojosa de Murat,,17.001147,-96.739836,0,
333,Rotonda - Gasolinera PEMEX,,16.99676,-96.74224,0,
334,Dzahuindanda - Huarares,,16.99682,-96.74678,0,
335,Base BinniBus Anáhuac,,16.996978,-96.749592,0,
336,Base BinniBus CRIT,,16.997168,-96.755658,0,
337,Universidad Anáhuac,,16.997004,-96.753067,0,
338,Privado de los Olivos - Boulevartd Guadalupe Hinojosa de Murat,,16.996906,-96.749805,0,
339,Dzahuindanda - Huarares,,16.996814,-96.746885,0,
340,Rotonda - Gasolinera PEMEX,,16.996704,-96.742481,0,
341,Ferrocarril - Boulevard Guadalupe Hinojosa de Murat,,17.001162,-96.739739,0,
342,Camino al Protillo - Boulevard Guadalupe Hinojosa de Murat,,17.003872,-96.738533,0,
343,Rotonda Xoxocotlán,,17.022399,-96.730268,0,
344,Privada del Pirú - Camino Antiguo al Aeropuerto,,17.022372,-96.729559,0,
345,Arboledas Xoxocotlán,,17.01969,-96.72825,0,
346,Antiguo Camino a San Bartolo Coyotepec,,17.019461,-96.726568,0,
347,Universidad La Salle Oaxaca,,17.01846829,-96.72070196,0,
348,Bosque el Tequio - Avenida Reforma,,17.01591034,-96.71598808,0,
349,Agrarista - Avenida Reforma,,17.01409804,-96.71329902,0,
350,Libertad - Avenida Símbolos Patrios,,17.01528,-96.71205,0,
351,Boulevard Eucaliptos - Avenida Símbolos Patrios,,17.01907,-96.71107,0,
352,Quinta Privada de Pinos - Avenida Símbolos Patrios,,17.02089,-96.71063,0,
353,Calzada Luis Echeverria Álvarez - Crucero La Experimental,,17.02438,-96.70996,0,
354,Río Salado - Avenida Símbolos Patrios,,17.02898,-96.71058,0,
355,Morelos - Avenida Símbolos Patrios (La Proovedora),,17.0308,-96.71183,0,
356,Carlos Gracida - Avenida Símbolos Patrios,,17.03311,-96.71346,0,
357,Calasanz - Avenida Universidad,,17.035725,-96.71215,0,
358,Plaza del Valle - Sam´s,,17.038562,-96.710584,0,
359,KFC - Avenida Universidad,,17.040105,-96.711449,0,
360,Plaza Oaxaca,,17.043205,-96.713851,0,
361,Facultad de Arquitectura - Avenida Universidad,,17.046494,-96.713895,0,
362,Facultad de Enfermería - Avenida Universidad,,17.048614,-96.713616,0,
363,Rectoria CU - Avenida Universidad,,17.050926,-96.713288,0,
364,Crucero de 5 Señores - Avenida Ferrocarril,,17.05363,-96.71292,0,
365,Heróico Colegio Militar - Primera Privada de Amapolas,,17.07103821,-96.7134353,0,
366,Almendros - Heróico Colegio Militar,,17.07274482,-96.7132091,0,
367,Avenida Belisario Domínguez - Avenida Heróico Colegio Militar,,17.07485836,-96.71295971,0,
368,Sabinos - Avenida Heróico Colegio Militar,,17.076944,-96.712619,0,
369,Avenida Fuerza Aérea Mexicana - Avenida Heróico Colegio Militar,,17.080283,-96.712258,0,
370,Estebán Baca Calderón - Avenida Heróico Colegio Militar,,17.083059,-96.711826,0,
371,Base BinniBus Módulo Azul,,17.08593617,-96.71149728,0,
372,Volcán Fuego - Proletariado Mexicano,,17.08927299,-96.70990646,0,
373,Pico de Orizaba - Zempoaltépetl,,17.09294395,-96.70805327,0,
374,Cofre de Perote - Seconusco,,17.094446,-96.706467,0,
375,Volcán de Tataná - Seconusco,,17.0930496,-96.7036498,0,
376,Laureles - Carretera a San Luis Beltrán,,17.09293003,-96.70023405,0,
377,Base BinniBus San Martín,,17.0596821,-96.7537492,0,
378,Guillermo Prieto - Plan de Ayutla,,17.0618087,-96.7531884,0,
379,Morelos - Avenida Oaxaca,,17.0632313,-96.7517123,0,
380,Avenida Itandehui - Avenida Oaxaca,,17.0642436,-96.7501801,0,
381,Periférico,,17.051464,-96.729209,0,
382,Niquel - 7 de Enero,,17.08126,-96.7102738,0,
383,7 de Enero - Escuadrón 201,,17.0808068,-96.706509,0,
384,Escuadrón 201 - Avenida Fuerza Aérea Mexicana,,17.0799217,-96.70627,0,
385,Primero de Mayo - Avenida Fuerza Aérea Mexicana,,17.079429,-96.7051238,0,
386,Orquídeas - Avenida Fuerza Aérea Mexicana,,17.079288,-96.703444,0,
